Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Evil Dead Rise,2023,Horror ,6.5,MirabaiPease RichardCrouchley Anna-MareeThomas ,LeeCronin,"A twisted tale of two estranged sisters whose reunion is cut short by the rise of flesh-possessing demons, thrusting them into a primal battle for survival as they face the most nightmarish version of family imaginable.","https://m.media-amazon.com/images/M/MV5BMmZiN2VmMjktZDE5OC00ZWRmLWFlMmEtYWViMTY4NjM3ZmNkXkEyXkFqcGdeQXVyMTI2MTc2ODM3._V1_QL75_UX72_CR0,0,72,107_.jpg"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,Adventure Family Fantasy ,6.9,TildaSwinton GeorgieHenley WilliamMoseley ,AndrewAdamson,"While playing, Lucy and her siblings find a wardrobe that lands them in a mystical place called Narnia. Here they realize that it was fated and they must now unite with Aslan to defeat an evil queen.","https://m.media-amazon.com/images/M/MV5BMTc0NTUwMTU5OV5BMl5BanBnXkFtZTcwNjAwNzQzMw@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Hunger Games: Catching Fire,2013,Action Adventure Sci-Fi ,7.5,JenniferLawrence JoshHutcherson LiamHemsworth ,FrancisLawrence,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"https://m.media-amazon.com/images/M/MV5BMTAyMjQ3OTAxMzNeQTJeQWpwZ15BbWU4MDU0NzA1MzAx._V1_QL75_UX72_CR0,0,72,107_.jpg"
BlackBerry,2023,Biography Comedy Drama ,7.4,JayBaruchel GlennHowerton MattJohnson ,MattJohnson,The story of the meteoric rise and catastrophic demise of the world's first smartphone.,"https://m.media-amazon.com/images/M/MV5BMDNhZWU4NTQtYjk1NS00MTM1LTg3ODYtMzE0MjQ2YTI5MGM4XkEyXkFqcGdeQXVyMDc5ODIzMw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Love & Other Drugs,2010,Comedy Drama Romance ,6.7,JakeGyllenhaal AnneHathaway JudyGreer ,EdwardZwick,"In 1990s Pittsburgh, a medicine peddler starts a relationship with a young woman suffering from Parkinson's disease.","https://m.media-amazon.com/images/M/MV5BMTgxOTczODEyMF5BMl5BanBnXkFtZTcwMDc0NDY4Mw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Chinatown,1974,Drama Mystery Thriller ,8.1,JackNicholson FayeDunaway JohnHuston ,RomanPolanski,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.","https://m.media-amazon.com/images/M/MV5BMjJkMDZhYzItZTFhMi00ZGI4LThlNTAtZDNlYmEwNjFkNDYzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Raiders of the Lost Ark,1981,Action Adventure ,8.4,HarrisonFord KarenAllen PaulFreeman ,StevenSpielberg,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","https://m.media-amazon.com/images/M/MV5BNTU2ODkyY2MtMjU1NC00NjE1LWEzYjgtMWQ3MzRhMTE0NDc0XkEyXkFqcGdeQXVyMjM4MzQ4OTQ@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Harry Potter and the Chamber of Secrets,2002,Adventure Family Fantasy ,7.4,DanielRadcliffe RupertGrint EmmaWatson ,ChrisColumbus,An ancient prophecy seems to be coming true when a mysterious presence begins stalking the corridors of a school of magic and leaving its victims paralyzed.,"https://m.media-amazon.com/images/M/MV5BMjE0YjUzNDUtMjc5OS00MTU3LTgxMmUtODhkOThkMzdjNWI4XkEyXkFqcGdeQXVyMTA3MzQ4MTc0._V1_QL75_UY107_CR1,0,72,107_.jpg"
Thor: Love and Thunder,2022,Action Adventure Comedy ,6.2,ChrisHemsworth NataliePortman ChristianBale ,TaikaWaititi,"Thor enlists the help of Valkyrie, Korg and ex-girlfriend Jane Foster to fight Gorr the God Butcher, who intends to make the gods extinct.","https://m.media-amazon.com/images/M/MV5BYmMxZWRiMTgtZjM0Ny00NDQxLWIxYWQtZDdlNDNkOTEzYTdlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Clue,1985,Comedy Crime Mystery ,7.2,EileenBrennan TimCurry MadelineKahn ,JonathanLynn,"Six guests are anonymously invited to a strange mansion for dinner, but after their host is killed, they must cooperate with the staff to identify the murderer as the bodies pile up.","https://m.media-amazon.com/images/M/MV5BM2VlNTE1ZmMtOTAyNS00ODYwLWFmY2MtZWEzOTE2YjE1NDE2XkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,1,72,107_.jpg"
L.A. Confidential,1997,Crime Drama Mystery ,8.2,KevinSpacey RussellCrowe GuyPearce ,CurtisHanson,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.","https://m.media-amazon.com/images/M/MV5BMDQ2YzEyZGItYWRhOS00MjBmLTkzMDUtMTdjYzkyMmQxZTJlXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UY107_CR0,0,72,107_.jpg"
