Name,Year of Release,Genres,Rating,Actors,Director,Description,Image
Mending the Line,2022,Drama ,6.7,PerryMattfeld BrianCox PatriciaHeaton ,JoshuaCaldwell,A Marine wounded in Afghanistan is sent to a V.A. facility in Montana where he meets a Vietnam Vet who teaches him how to fly fish as a way of dealing with his emotional and physical trauma.,"https://m.media-amazon.com/images/M/MV5BNGZmYzkzYWEtMTc4Ny00MGUyLWFhZjItMGU4NjI0ZWU1NDI1XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Abigail,2024,Horror Thriller ,,,,"After a group of criminals kidnap the ballerina daughter of a powerful underworld figure, they retreat to an isolated mansion, unaware that they're locked inside with no normal little girl.","https://m.media-amazon.com/images/M/MV5BY2JlYjlkNzMtNTU3OS00NDVmLTk4NTYtYTM4ZTEwMGM4NDBiXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,4,72,107_.jpg"
Napoleon,2023,Action Adventure Biography ,6.4,JoaquinPhoenix VanessaKirby TaharRahim ,RidleyScott,"An epic that details the chequered rise and fall of French Emperor Napoleon Bonaparte and his relentless journey to power through the prism of his addictive, volatile relationship with his wife, Josephine.","https://m.media-amazon.com/images/M/MV5BZWIzNDAxMTktMDMzZS00ZjJmLTlhNjYtOGUxYmZlYzVmOGE4XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Land of Bad,2024,Action Thriller ,6.5,LiamHemsworth RussellCrowe LukeHemsworth ,WilliamEubank,A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.,"https://m.media-amazon.com/images/M/MV5BMzkyOTUzYTUtY2UzYS00MjY4LTljZWYtYzMyMmZlMWYwMjQ5XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Shawshank Redemption,1994,Drama ,9.3,TimRobbins MorganFreeman BobGunton ,FrankDarabont,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.","https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX72_CR0,1,72,107_.jpg"
Ford v Ferrari,2019,Action Biography Drama ,8.1,MattDamon ChristianBale JonBernthal ,JamesMangold,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,"https://m.media-amazon.com/images/M/MV5BM2UwMDVmMDItM2I2Yi00NGZmLTk4ZTUtY2JjNTQ3OGQ5ZjM2XkEyXkFqcGdeQXVyMTA1OTYzOTUx._V1_QL75_UY107_CR0,0,72,107_.jpg"
Furiosa: A Mad Max Saga,2024,Action Adventure Sci-Fi ,,,,The origin story of renegade warrior Furiosa before her encounter and teamup with Mad Max.,"https://m.media-amazon.com/images/M/MV5BNjYxZjY3ZDAtNDc1Mi00YzMxLWI4MWEtNzQwZGExYmMzODFhXkEyXkFqcGdeQXVyNzAwMjU2MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Trolls Band Together,2023,Animation Adventure Comedy ,6,AnnaKendrick JustinTimberlake KenanThompson ,WaltDohrn,"Poppy discovers that Branch was once part of the boy band 'BroZone' with his brothers, Floyd, John Dory, Spruce and Clay. When Floyd is kidnapped, Branch and Poppy embark on a journey to reunite his two other brothers and rescue Floyd.","https://m.media-amazon.com/images/M/MV5BMTY4MDk2YWUtNWY1My00YjAxLWI4ZGQtMmRhN2FiNDI4NDRjXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,4,72,107_.jpg"
The American Society of Magical Negroes,2024,Comedy Fantasy ,2.7,JusticeSmith ZacharyBarton AnthonyCoons ,KobiLibii,"A young man, Aren, is recruited into a secret society of magical Black people who dedicate their lives to a cause of utmost importance: making white people's lives easier.","https://m.media-amazon.com/images/M/MV5BYTY5MDQ0ZDItMTU3Ni00ZGZhLWJjODctMjI4NTljZmUwYTZjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Aquaman and the Lost Kingdom,2023,Action Adventure Fantasy ,5.6,JasonMomoa PatrickWilson YahyaAbdul-MateenII ,JamesWan,"Black Manta seeks revenge on Aquaman for his father's death. Wielding the Black Trident's power, he becomes a formidable foe. To defend Atlantis, Aquaman forges an alliance with his imprisoned brother. They must protect the kingdom.","https://m.media-amazon.com/images/M/MV5BMzZlZDQ5NWItY2RjMC00NjRiLTlmZTgtZGE2ODEyMjVlOTJhXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Batman,2022,Action Crime Drama ,7.8,RobertPattinson ZoëKravitz JeffreyWright ,MattReeves,"When a sadistic serial killer begins murdering key political figures in Gotham, Batman is forced to investigate the city's hidden corruption and question his family's involvement.","https://m.media-amazon.com/images/M/MV5BM2MyNTAwZGEtNTAxNC00ODVjLTgzZjUtYmU0YjAzNmQyZDEwXkEyXkFqcGdeQXVyNDc2NTg3NzA@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Once Upon a Time... in Hollywood,2019,Comedy Drama ,7.6,LeonardoDiCaprio BradPitt MargotRobbie ,QuentinTarantino,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"https://m.media-amazon.com/images/M/MV5BOTg4ZTNkZmUtMzNlZi00YmFjLTk1MmUtNWQwNTM0YjcyNTNkXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Cabrini,2024,Biography Drama ,7.9,CristianaDell'Anna JohnLithgow DavidMorse ,AlejandroMonteverde,"After witnessing disease and poverty in the slums of New York, Italian immigrant Francesca Cabrini embarks on a daring journey to persuade the hostile mayor to provide housing and healthcare for hundreds of orphaned children.","https://m.media-amazon.com/images/M/MV5BYzhkYjdlYzAtZGEwNy00NmUzLTg3NzEtOTFmNjJmZWJiMTU3XkEyXkFqcGdeQXVyNzc0MTgzMzU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Winnie-the-Pooh: Blood and Honey,2023,Horror ,2.9,NikolaiLeon MariaTaylor NatashaRoseMills ,RhysFrake-Waterfield,"After Christopher Robin abandons them for college, Pooh and Piglet embark on a bloody rampage as they search for a new source of food.","https://m.media-amazon.com/images/M/MV5BNGMwNjBlM2MtYzFlNi00ZDgwLTkwN2QtMjgzOWVjMWQ4NzAzXkEyXkFqcGdeQXVyNDA1NDA2NTk@._V1_QL75_UY107_CR6,0,72,107_.jpg"
The Godfather,1972,Crime Drama ,9.2,MarlonBrando AlPacino JamesCaan ,FrancisFordCoppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY107_CR1,0,72,107_.jpg"
Deadpool & Wolverine,2024,Action Comedy Sci-Fi ,,,,"Wolverine is recovering from his injuries when he crosses paths with the loudmouth, Deadpool. They team up to defeat a common enemy.","https://m.media-amazon.com/images/M/MV5BNGZjYzE4M2MtNmE5ZC00MjdkLThmYTAtNTAyNjQyN2Q4YmVlXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Hunger Games: The Ballad of Songbirds & Snakes,2023,Action Adventure Drama ,6.8,RachelZegler TomBlyth ViolaDavis ,FrancisLawrence,Coriolanus Snow mentors and develops feelings for the female District 12 tribute during the 10th Hunger Games.,"https://m.media-amazon.com/images/M/MV5BOTZmMmY2MzctMjU2Yy00YjJlLTk1NjAtY2U4MmMxOWZkZWY4XkEyXkFqcGdeQXVyMjM4NTM5NDY@._V1_QL75_UX72_CR0,2,72,107_.jpg"
X,2022,Horror Mystery Thriller ,6.5,MiaGoth JennaOrtega BrittanySnow ,TiWest,"In 1979, a group of young filmmakers set out to make an adult film in rural Texas, but when their reclusive, elderly hosts catch them in the act, the cast find themselves fighting for their lives.","https://m.media-amazon.com/images/M/MV5BMTJiMmE5YWItOWZjYS00YTg0LWE0MTYtMzg2ZTY4YjNkNDEzXkEyXkFqcGdeQXVyMTAzMDg4NzU0._V1_QL75_UY107_CR7,0,72,107_.jpg"
Joker: Folie à Deux,2024,Crime Drama Musical ,,,,"Sequel to the film ""Joker"" from 2019.","https://m.media-amazon.com/images/M/MV5BNTI0MjIwMDAtYWY1ZC00MDUyLWI0MzMtZGNjODRlN2Y3ZmE2XkEyXkFqcGdeQXVyMTM1NjM2ODg1._V1_QL75_UY107_CR7,0,72,107_.jpg"
The Voyeurs,2021,Drama Mystery Romance ,6.1,SydneySweeney JusticeSmith BenHardy ,MichaelMohan,"Pippa and Thomas move into their dream apartment, but notice that their windows look directly into the apartment opposite. This will set in motion a chain of events that will lead to disaster.","https://m.media-amazon.com/images/M/MV5BZmQzMGE0YzEtZjNiYS00Mjg5LTgyOTctNWViZTFiZDAzYTNkXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Rebel Moon - Part One: A Child of Fire,2023,Action Adventure Drama ,5.6,SofiaBoutella DjimonHounsou EdSkrein ,ZackSnyder,"When a peaceful settlement on the edge of a distant moon finds itself threatened by the armies of a tyrannical ruling force, a mysterious stranger living among its villagers becomes their best hope for survival.","https://m.media-amazon.com/images/M/MV5BYzlhNzBmYjUtNjRmZC00MDg3LWE4NDMtZDNjODUwNTljMzhlXkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Wicked Little Letters,2023,Comedy Crime Drama ,7.1,OliviaColman JessieBuckley TimothySpall ,TheaSharrock,"When people in Littlehampton--including conservative local Edith--begin to receive letters full of hilarious profanities, rowdy Irish migrant Rose is charged with the crime. Suspecting that something is amiss, the town's women investigate.","https://m.media-amazon.com/images/M/MV5BN2NmNWYzNTktNThmNS00MjZkLTk5NjItZTEwNTczMzAwMWI2XkEyXkFqcGdeQXVyMTQyODg5MjQw._V1_QL75_UX72_CR0,0,72,107_.jpg"
Top Gun,1986,Action Drama ,6.9,TomCruise TimRobbins KellyMcGillis ,TonyScott,"As students at the United States Navy's elite fighter weapons school compete to be best in the class, one daring young pilot learns a few things from a civilian instructor that are not taught in the classroom.","https://m.media-amazon.com/images/M/MV5BZjQxYTA3ODItNzgxMy00N2Y2LWJlZGMtMTRlM2JkZjI1ZDhhXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UX72_CR0,2,72,107_.jpg"
Ghostbusters,2016,Action Comedy Fantasy ,6.8,MelissaMcCarthy KristenWiig KateMcKinnon ,PaulFeig,"Following a ghost invasion of Manhattan, paranormal enthusiasts Erin Gilbert and Abby Yates, nuclear engineer Jillian Holtzmann, and subway worker Patty Tolan band together to stop the otherworldly threat.","https://m.media-amazon.com/images/M/MV5BNGYzNDM0M2QtZDFkNy00OTI2LWIyNjctNjNhNDM5Zjk3NzU2XkEyXkFqcGdeQXVyNjQ3MDg0MTY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Dark Knight,2008,Action Crime Drama ,9,ChristianBale HeathLedger AaronEckhart ,ChristopherNolan,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Bullet Train,2022,Action Comedy Thriller ,7.3,BradPitt JoeyKing AaronTaylor-Johnson ,DavidLeitch,Five assassins aboard a swiftly-moving bullet train find out that their missions have something in common.,"https://m.media-amazon.com/images/M/MV5BMDU2ZmM2OTYtNzIxYy00NjM5LTliNGQtN2JmOWQzYTBmZWUzXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Mission: Impossible - Dead Reckoning Part One,2023,Action Adventure Thriller ,7.7,TomCruise HayleyAtwell VingRhames ,ChristopherMcQuarrie,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.,"https://m.media-amazon.com/images/M/MV5BYzFiZjc1YzctMDY3Zi00NGE5LTlmNWEtN2Q3OWFjYjY1NGM2XkEyXkFqcGdeQXVyMTUyMTUzNjQ0._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Idea of You,2024,Drama Romance ,5.5,AnneHathaway NicholasGalitzine EllaRubin ,MichaelShowalter,"Solène, a 40-year-old single mom, begins an unexpected romance with 24-year-old Hayes Campbell, the lead singer of August Moon, the hottest boy band on the planet.","https://m.media-amazon.com/images/M/MV5BYWRkZjJiODEtM2IwZi00ZjM1LWEyOTUtOThjMDk3YThjZDUzXkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,0,72,107_.jpg"
Ferrari,2023,Biography Drama History ,6.5,AdamDriver ShaileneWoodley GiuseppeFestinese ,MichaelMann,"Set in the summer of 1957, with Enzo Ferrari's auto empire in crisis, the ex-racer turned entrepreneur pushes himself and his drivers to the edge as they launch into the Mille Miglia, a treacherous 1,000-mile race across Italy.","https://m.media-amazon.com/images/M/MV5BNTM0YTBlMjctZjJjZS00MDU4LTg5YmQtMDY5Y2FhMWZiMjQ2XkEyXkFqcGdeQXVyNzU0NzQxNTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Kingdom of the Planet of the Apes,2024,Action Sci-Fi ,,,,"Many years after the reign of Caesar, a young ape goes on a journey that will lead him to question everything he's been taught about the past and make choices that will define a future for apes and humans alike.","https://m.media-amazon.com/images/M/MV5BNDcxM2RiOWMtMGEzMC00NDEyLTgzMjEtOWZjYzVhN2E2ZjcyXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Mad Max: Fury Road,2015,Action Adventure Sci-Fi ,8.1,TomHardy CharlizeTheron NicholasHoult ,GeorgeMiller,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named Max.","https://m.media-amazon.com/images/M/MV5BN2EwM2I5OWMtMGQyMi00Zjg1LWJkNTctZTdjYTA4OGUwZjMyXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Martian,2015,Adventure Drama Sci-Fi ,8,MattDamon JessicaChastain KristenWiig ,RidleyScott,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential rescue.","https://m.media-amazon.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_QL75_UY107_CR0,0,72,107_.jpg"
One Day,2011,Drama Romance ,7,AnneHathaway JimSturgess PatriciaClarkson ,LoneScherfig,"After spending the night together on the eve of their college graduation, Dexter and Emma are shown each year on the same date to see where they are in their lives. They are sometimes together, and sometimes not.","https://m.media-amazon.com/images/M/MV5BMTQ3NTg2MDI3NF5BMl5BanBnXkFtZTcwMjc5MTA1NA@@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Titanic,1997,Drama Romance ,7.9,LeonardoDiCaprio KateWinslet BillyZane ,JamesCameron,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","https://m.media-amazon.com/images/M/MV5BMDdmZGU3NDQtY2E5My00ZTliLWIzOTUtMTY4ZGI1YjdiNjk3XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Inception,2010,Action Adventure Sci-Fi ,8.8,LeonardoDiCaprio JosephGordon-Levitt ElliotPage ,ChristopherNolan,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","https://m.media-amazon.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Crow,1994,Action Crime Drama ,7.5,BrandonLee MichaelWincott RochelleDavis ,AlexProyas,A man brutally murdered comes back to life as an undead avenger of his and his fiancée's murder.,"https://m.media-amazon.com/images/M/MV5BOGIxYmFiMzQtZDQwMC00ZTAxLWIzZTQtOTM5MzJkZmJjZTJhXkEyXkFqcGdeQXVyMTUyNjc3NDQ4._V1_QL75_UX72_CR0,1,72,107_.jpg"
The Accountant,2016,Action Crime Drama ,7.3,BenAffleck AnnaKendrick J.K.Simmons ,GavinO'Connor,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise.","https://m.media-amazon.com/images/M/MV5BNDc5Mzg2NTYxNV5BMl5BanBnXkFtZTgwMjQ2ODAwOTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Blade Runner 2049,2017,Action Drama Mystery ,8,HarrisonFord RyanGosling AnadeArmas ,DenisVilleneuve,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Harry Potter and the Sorcerer's Stone,2001,Adventure Family Fantasy ,7.6,DanielRadcliffe RupertGrint EmmaWatson ,ChrisColumbus,"An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","https://m.media-amazon.com/images/M/MV5BNmQ0ODBhMjUtNDRhOC00MGQzLTk5MTAtZDliODg5NmU5MjZhXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_QL75_UY107_CR0,0,72,107_.jpg"
Gran Turismo,2023,Action Adventure Drama ,7.1,DavidHarbour OrlandoBloom ArchieMadekwe ,NeillBlomkamp,"Based on the unbelievable, inspiring true story of a team of underdogs - a struggling, working-class gamer, a failed former race car driver, and an idealistic motorsport exec - who risk it all to take on the most elite sport in the world.","https://m.media-amazon.com/images/M/MV5BMTI1YjFmN2UtOWZhOC00MjkwLTg2ZjgtNDQ5NDQ3YWNmNGRkXkEyXkFqcGdeQXVyMTAxNzQ1NzI@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Brothers Grimsby,2016,Action Adventure Comedy ,6.2,SachaBaronCohen MarkStrong RebelWilson ,LouisLeterrier,A new assignment forces a top spy to team up with his football hooligan brother.,"https://m.media-amazon.com/images/M/MV5BMjE0NTE3MjMwNV5BMl5BanBnXkFtZTgwMDc5NjQxODE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Drive-Away Dolls,2024,Action Comedy Thriller ,5.6,MargaretQualley GeraldineViswanathan BeanieFeldstein ,EthanCoen,"Jamie regrets her breakup with her girlfriend, while Marian needs to relax. In search of a fresh start, they embark on an unexpected road trip to Tallahassee. Things quickly go awry when they cross paths with a group of inept criminals.","https://m.media-amazon.com/images/M/MV5BZjI2NDNmNzEtZTAyYi00NjBhLWFkMzQtMmVjZDMxYzAzZjFiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Lisa Frankenstein,2024,Comedy Horror Romance ,6.1,KathrynNewton LizaSoberano JennaDavis ,ZeldaWilliams,"A coming of RAGE love story about a teenager and her crush, who happens to be a corpse. After a set of horrific circumstances bring him back to life, the two embark on a journey to find love, happiness - and a few missing body parts.","https://m.media-amazon.com/images/M/MV5BNjJkZDExMGQtNGE2YS00YzJiLWJiNjEtNmYwZjIxZGMxNTZiXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Miller's Girl,2024,Comedy Drama ,5.2,MartinFreeman JennaOrtega BashirSalahuddin ,JadeHalleyBartlett,A creative writing assignment yields complex results between a teacher and his talented student.,"https://m.media-amazon.com/images/M/MV5BM2JiYTQzM2MtOWU4NS00MGMwLTg2NTYtMTNhMzk5Y2JlY2Q4XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX72_CR0,1,72,107_.jpg"
Pulp Fiction,1994,Crime Drama ,8.9,JohnTravolta UmaThurman SamuelL.Jackson ,QuentinTarantino,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY107_CR0,0,72,107_.jpg"
The Lord of the Rings: The Fellowship of the Ring,2001,Action Adventure Drama ,8.9,ElijahWood IanMcKellen OrlandoBloom ,PeterJackson,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Love,2015,Drama Romance ,6.1,AomiMuyock KarlGlusman KlaraKristin ,GasparNoé,"Murphy is an American living in Paris who enters a highly sexually and emotionally charged relationship with Electra. Unaware of the effect it will have on their relationship, they invite their pretty neighbor into their bed.","https://m.media-amazon.com/images/M/MV5BZGQxZTFlZDctZjcyMy00NzA1LWFkMDYtNzRmZTkwYTFhYTc3XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
Bodies Bodies Bodies,2022,Comedy Horror Thriller ,6.2,AmandlaStenberg MariaBakalova Myha'la ,HalinaReijn,"When a group of rich 20-somethings plan a hurricane party at a remote family mansion, a party game turns deadly in this fresh and funny look at backstabbing, fake friends, and one party gone very, very wrong.","https://m.media-amazon.com/images/M/MV5BYTA2ODg5ZjgtOTU2My00MzFkLWI0NzMtZmQ5MmRhMWU1NzhlXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Favourite,2018,Biography Comedy Drama ,7.5,OliviaColman EmmaStone RachelWeisz ,YorgosLanthimos,"In early 18th-century England, the status quo at the court is upset when a new servant arrives and endears herself to a frail Queen Anne.","https://m.media-amazon.com/images/M/MV5BMTg1NzQwMDQxNV5BMl5BanBnXkFtZTgwNDg2NDYyNjM@._V1_QL75_UX72_CR0,0,72,107_.jpg"
The Wolf of Wall Street,2013,Biography Comedy Crime ,8.2,LeonardoDiCaprio JonahHill MargotRobbie ,MartinScorsese,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_QL75_UX72_CR0,0,72,107_.jpg"
